side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_rebuild,p_wait,e_build,e_raid,e_fortify,e_rebuild,e_wait,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield
4,37,utility_aggro_turtle_vs_utility_fortifier,utility_aggro_turtle,utility_fortifier,enemy,full_board_majority,17,23,9,8,18,19,17,18,0,33,19,17,2,27,0,7,2,12,17,9,14,0,6,16,10,13,0,6,3,13,7,9,17,5,4,12,4,4,12,11,16,25,3
4,37,utility_aggro_turtle_vs_utility_aggro_turtle,utility_aggro_turtle,utility_aggro_turtle,player,full_board_majority,17,23,9,8,19,18,18,17,0,33,22,20,2,24,0,7,2,12,17,11,12,0,6,16,11,12,0,6,0,13,7,12,17,9,1,12,3,4,12,11,15,22,3
4,37,utility_aggro_turtle_vs_utility_opportunist,utility_aggro_turtle,utility_opportunist,enemy,full_board_majority,16,23,8,8,18,19,17,18,0,33,25,22,3,12,0,6,2,13,16,12,7,0,6,17,13,5,0,7,0,16,5,2,14,4,12,12,12,4,12,12,8,9,2
4,37,utility_opportunist_vs_phase_player,utility_opportunist,phase_player,player,territory,21,23,11,10,23,11,22,10,3,30,46,34,12,18,1,12,2,14,19,27,5,0,7,11,19,13,1,7,12,18,31,0,32,28,4,12,8,6,12,12,6,6,1
4,37,utility_opportunist_vs_rusher,utility_opportunist,rusher,player,territory,39,23,20,19,23,12,22,11,2,31,90,83,7,28,6,13,2,60,18,43,28,6,10,13,47,0,0,50,89,70,50,0,0,221,12,12,6,6,1,12,8,21,3
4,37,utility_opportunist_vs_utility_balancer,utility_opportunist,utility_balancer,player,full_board_majority,17,23,9,8,19,18,18,17,0,33,31,27,4,13,0,7,2,13,18,16,5,0,7,15,15,8,0,6,4,16,6,0,20,16,4,12,9,9,12,12,9,9,1
4,37,utility_opportunist_vs_utility_rusher,utility_opportunist,utility_rusher,enemy,full_board_majority,17,23,9,8,18,19,17,18,0,33,32,28,4,11,0,6,2,16,16,15,7,0,8,17,17,4,0,8,23,13,6,0,25,11,12,4,3,1,12,12,6,7,2
4,37,utility_opportunist_vs_utility_economist,utility_opportunist,utility_economist,player,full_board_majority,17,23,9,8,22,15,21,14,0,33,36,35,1,9,0,7,2,13,17,19,4,0,7,16,17,5,0,6,13,19,1,25,13,4,12,12,2,7,12,12,8,8,1
4,37,utility_opportunist_vs_utility_fortifier,utility_opportunist,utility_fortifier,player,full_board_majority,19,23,10,9,22,15,21,14,0,33,41,37,4,16,0,7,2,13,17,23,5,0,7,16,18,11,0,6,17,27,12,9,23,13,12,12,5,5,12,12,10,12,2
4,37,utility_opportunist_vs_utility_aggro_turtle,utility_opportunist,utility_aggro_turtle,player,full_board_majority,18,23,9,9,19,18,18,17,0,33,35,29,6,18,0,7,2,13,18,18,6,0,7,15,17,12,0,6,12,20,10,14,22,5,3,12,8,4,12,3,10,12,3
4,37,utility_opportunist_vs_utility_opportunist,utility_opportunist,utility_opportunist,enemy,full_board_majority,17,23,9,8,18,19,17,18,0,33,32,28,4,12,0,6,2,15,16,15,7,0,8,17,17,5,0,7,23,13,6,0,25,9,12,4,3,1,12,12,7,8,2
5,61,phase_player_vs_phase_player,phase_player,phase_player,player,full_board_majority,58,37,29,29,31,30,30,29,0,57,147,113,34,54,14,49,2,21,28,77,23,6,12,29,70,31,8,9,93,113,804,42,73,631,12,12,12,0,12,11,20,20,1
5,61,phase_player_vs_rusher,phase_player,rusher,enemy,territory,102,37,51,51,23,37,22,36,1,56,291,260,31,39,55,55,2,111,33,124,39,55,27,23,167,0,0,84,5,93,1584,16,379,2377,12,4,12,2,12,6,8,8,1
5,61,phase_player_vs_utility_balancer,phase_player,utility_balancer,enemy,territory,52,37,26,26,22,37,21,36,2,55,146,101,45,64,1,25,2,16,17,83,21,1,8,38,63,43,0,8,0,89,559,119,101,314,2,10,12,0,12,9,16,18,2
5,61,phase_player_vs_utility_rusher,phase_player,utility_rusher,enemy,territory,38,37,19,19,17,37,16,36,7,50,104,79,25,34,0,16,2,18,14,43,30,0,8,36,61,4,0,10,0,2,231,16,39,249,3,10,12,0,12,11,9,9,1
5,61,phase_player_vs_utility_economist,phase_player,utility_economist,enemy,territory,40,37,20,20,16,37,15,36,8,49,109,76,33,46,0,17,2,14,18,50,26,0,8,31,59,20,0,6,1,3,261,84,107,255,7,10,12,0,12,9,11,13,3
5,61,phase_player_vs_utility_fortifier,phase_player,utility_fortifier,player,full_board_majority,61,37,31,30,34,27,33,26,0,57,156,106,50,88,13,19,2,28,28,82,34,9,14,29,74,54,4,14,73,117,660,258,41,323,0,9,8,12,9,12,19,34,3
5,61,phase_player_vs_utility_aggro_turtle,phase_player,utility_aggro_turtle,player,full_board_majority,74,37,37,37,32,29,31,28,0,57,221,145,76,123,0,25,2,16,17,137,37,0,8,40,84,86,0,8,36,349,1201,296,176,515,0,12,8,12,12,4,27,36,3
5,61,phase_player_vs_utility_opportunist,phase_player,utility_opportunist,enemy,territory,44,37,22,22,18,37,17,36,6,51,113,79,34,56,1,22,2,16,17,51,31,1,8,34,62,25,0,8,0,34,284,84,172,262,9,12,12,0,12,6,16,22,3
5,61,rusher_vs_phase_player,rusher,phase_player,enemy,full_board_majority,96,37,48,48,28,33,27,32,0,57,261,233,28,36,53,55,2,110,25,145,0,2,89,32,116,36,51,21,28,74,1589,110,99,2090,0,10,12,12,12,7,8,8,1
