side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,natural_winner,natural_win_reason,timeout_margin,timeout_controlled_diff,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,tunnel_entrance,tunnel_extend,tunnel_raid,repair_build,tunnel_raid_takeovers,shield_bypassed,collapsed_fields_total,p_build,p_raid,p_fortify,p_rebuild,p_wait,p_tunnel_entrance,p_tunnel_extend,p_tunnel_raid,p_repair_build,e_build,e_raid,e_fortify,e_rebuild,e_wait,e_tunnel_entrance,e_tunnel_extend,e_tunnel_raid,e_repair_build,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield,collapsed_fields_final,tunnel_edges_final,tunnel_nodes_final,network_components_final,largest_tunnel_component,fields_with_tunnel_entrance,max_tunnel_pressure_final,avg_tunnel_pressure_final_x100
4,37,utility_tunneler_vs_utility_balancer,utility_tunneler,utility_balancer,enemy,full_board_majority,enemy,full_board_majority,5,0,18,23,9,9,18,19,17,18,0,33,15,14,1,27,3,4,2,14,8,0,0,0,0,0,0,18,7,7,1,8,8,0,0,0,15,8,20,2,6,0,0,0,0,2,7,16,10,9,13,3,12,12,12,12,3,14,26,3,0,0,0,0,0,8,1,22
4,37,utility_tunneler_vs_utility_tunneler,utility_tunneler,utility_tunneler,enemy,full_board_majority,enemy,full_board_majority,5,0,22,23,11,11,18,19,17,18,0,33,12,12,0,43,1,4,2,15,20,0,0,0,0,0,0,18,5,22,0,8,8,0,0,0,15,7,21,1,7,12,0,0,0,24,31,4,31,50,2,4,12,8,10,12,0,18,43,3,0,0,0,0,0,20,1,54
4,37,utility_tunneler_vs_rusher,utility_tunneler,rusher,enemy,domination,enemy,domination,5,0,22,23,11,11,1,22,0,21,14,19,38,33,5,5,0,2,2,46,7,9,0,0,0,0,0,8,12,5,0,19,7,9,0,0,11,26,0,0,27,0,0,0,0,0,0,0,0,1,100,1,1,3,1,6,11,0,0,0,0,9,10,1,10,7,3,68
4,37,utility_tunneler_vs_phase_player,utility_tunneler,phase_player,enemy,territory,enemy,territory,5,0,24,23,12,12,10,23,9,22,4,29,47,43,4,14,0,6,2,15,13,8,7,0,7,7,0,10,20,1,0,8,13,8,7,0,19,27,13,0,7,0,0,0,0,3,40,3,18,15,45,12,12,9,5,5,4,9,9,1,0,8,12,4,5,13,3,78
4,37,rusher_vs_opening_resource_spammer,rusher,opening_resource_spammer,enemy,domination,enemy,domination,5,0,32,23,16,16,1,20,0,19,16,17,53,53,0,0,1,0,0,116,0,0,0,0,0,0,0,6,23,0,1,63,0,0,0,0,11,30,0,0,53,0,0,0,0,0,0,13,94,0,210,3,0,4,6,0,4,0,0,0,0,0,0,0,0,0,0,0
4,37,rusher_vs_tunnel_all_in_probe,rusher,tunnel_all_in_probe,player,domination,player,domination,5,0,11,23,6,5,12,1,11,0,24,9,6,6,0,0,0,0,0,39,2,3,3,0,3,3,0,7,6,0,0,19,0,0,0,0,2,0,0,0,20,2,3,3,0,0,0,33,0,0,1,0,3,5,0,1,4,0,0,0,0,3,4,1,4,2,3,22
4,37,rusher_vs_utility_balancer,rusher,utility_balancer,player,full_board_majority,player,full_board_majority,5,0,38,23,19,19,19,18,18,17,0,33,108,81,27,40,3,9,2,31,0,0,0,0,0,0,0,12,70,0,1,25,0,0,0,0,21,38,40,2,6,0,0,0,0,2,1,228,70,10,34,2,3,12,12,10,5,6,10,3,0,0,0,0,0,0,0,0
4,37,rusher_vs_utility_tunneler,rusher,utility_tunneler,player,territory,player,territory,5,0,23,23,12,11,23,13,22,12,1,32,50,37,13,16,1,3,2,26,4,0,0,0,0,0,0,10,37,0,0,19,0,0,0,0,22,13,16,1,7,4,0,0,0,1,0,100,0,2,4,5,11,10,12,12,9,1,1,1,0,0,0,0,0,4,1,11
4,37,rusher_vs_rusher,rusher,rusher,player,domination,player,domination,5,0,33,23,17,16,19,1,18,0,17,16,54,54,0,0,0,0,0,123,0,0,0,0,0,0,0,9,31,0,0,57,0,0,0,0,7,23,0,0,66,0,0,0,0,7,0,267,0,0,14,6,0,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0
4,37,rusher_vs_phase_player,rusher,phase_player,player,territory,player,territory,5,0,35,23,18,17,23,13,22,12,1,32,86,70,16,22,14,8,2,42,0,0,0,0,0,0,0,17,53,0,0,33,0,0,0,0,15,33,22,14,9,0,0,0,0,31,0,189,7,0,147,6,1,8,4,10,12,6,6,1,0,0,0,0,0,0,0,0
